OrderID,OrderDate,CustomerName,Region,SalesChannel,ProductCategory,ProductName,Quantity,UnitPrice,DiscountPercent,DiscountAmount,NetTotal,PaymentMethod,SalesRep,CustomerRating
ORD10013,2025-01-06,Sophia White,West,Phone,Sports,Dumbbells,8,226.57,15.0,271.88,1540.68,Debit Card,Deepa Rao,4
ORD10014,2025-01-06,Rahul Chatterjee,North,In-Store,Sports,Yoga Mat,3,513.73,0.0,0.0,1541.19,Debit Card,Ravi Kumar,5
ORD10015,2025-01-06,Emily Johnson,South,Online,Electronics,Smartwatch,2,1451.2,0.0,0.0,2902.4,PayPal,Vijay Anand,1
ORD10016,2025-01-07,Divya Kapoor,South,In-Store,Sports,Running Shoes,1,169.27,0.0,0.0,169.27,Cash,Arun Prasad,3
ORD10017,2025-01-07,Kavya Menon,East,In-Store,Groceries,Coffee,3,648.44,0.0,0.0,1945.32,PayPal,Deepa Rao,4
ORD10018,2025-01-09,Kavya Menon,Central,In-Store,Furniture,Desk,6,1238.35,20.0,1486.02,5944.08,Credit Card,Arun Prasad,3
ORD10019,2025-01-09,James Taylor,North,Phone,Electronics,Headphones,6,1258.73,0.0,0.0,7552.38,Credit Card,Manoj Tiwari,4
ORD10020,2025-01-09,Vikram Rao,East,Online,Sports,Yoga Mat,1,590.6,20.0,118.12,472.48,Cash,Sunita Rao,5
ORD10021,2025-01-10,Sophia White,West,Online,Clothing,Sneakers,5,1412.7,0.0,0.0,7063.5,Bank Transfer,Manoj Tiwari,2
ORD10022,2025-01-10,Olivia Anderson,South,In-Store,Clothing,Sneakers,1,110.25,0.0,0.0,110.25,PayPal,Ravi Kumar,3
ORD10023,2025-01-10,Sophia White,North,Online,Electronics,Laptop,9,634.26,0.0,0.0,5708.34,PayPal,Kiran Desai,4
ORD10024,2025-01-11,Meera Iyer,North,In-Store,Sports,Tennis Racket,7,1896.76,20.0,2655.46,10621.86,Debit Card,Pallavi Shah,4
ORD10025,2025-01-12,Ishita Gupta,Central,In-Store,Clothing,Dress,2,1761.69,15.0,528.51,2994.87,Bank Transfer,Pallavi Shah,3
ORD10026,2025-01-12,Olivia Anderson,West,In-Store,Furniture,Sofa,5,217.98,0.0,0.0,1089.9,Debit Card,Anjali Nair,4
ORD10027,2025-01-13,Sanjay Kumar,West,In-Store,Sports,Dumbbells,6,1147.35,0.0,0.0,6884.1,Debit Card,Vijay Anand,2
ORD10028,2025-01-13,Rohan Mehta,South,Phone,Sports,Dumbbells,4,43.56,15.0,26.14,148.1,Credit Card,Kiran Desai,4
ORD10029,2025-01-13,Nikhil Bansal,West,Online,Groceries,Olive Oil,4,15.34,10.0,6.14,55.22,Cash,Sunita Rao,1
ORD10030,2025-01-13,Ananya Singh,East,Online,Sports,Bicycle,2,324.84,10.0,64.97,584.71,Cash,Suresh Babu,4
ORD10031,2025-01-13,Ananya Singh,South,Online,Sports,Dumbbells,5,486.2,10.0,243.1,2187.9,Bank Transfer,Ravi Kumar,3
ORD10032,2025-01-13,Olivia Anderson,West,In-Store,Electronics,Smartphone,1,1399.56,10.0,139.96,1259.6,Debit Card,Pallavi Shah,1
ORD10033,2025-01-13,John Smith,West,Online,Clothing,Sneakers,2,987.58,20.0,395.03,1580.13,Bank Transfer,Pallavi Shah,5
ORD10034,2025-01-13,Sneha Desai,South,Online,Clothing,T-Shirt,8,1121.89,20.0,1795.02,7180.1,PayPal,Kiran Desai,4
ORD10035,2025-01-14,Sneha Desai,West,In-Store,Electronics,Smartphone,8,873.75,20.0,1398.0,5592.0,Bank Transfer,Suresh Babu,5
ORD10036,2025-01-14,Michael Brown,Central,Phone,Clothing,Sneakers,2,245.53,0.0,0.0,491.06,Debit Card,Sunita Rao,2
ORD10037,2025-01-14,Nikhil Bansal,Central,Online,Clothing,Jeans,7,125.4,5.0,43.89,833.91,Bank Transfer,Arun Prasad,4
ORD10038,2025-01-14,Laura Martinez,South,Online,Furniture,Sofa,7,389.78,15.0,409.27,2319.19,Debit Card,Ravi Kumar,3
ORD10039,2025-01-14,Riya Chawla,Central,Online,Furniture,Sofa,4,1128.21,0.0,0.0,4512.84,Bank Transfer,Pallavi Shah,5
ORD10040,2025-01-14,Kavya Menon,East,Phone,Sports,Bicycle,1,982.29,0.0,0.0,982.29,PayPal,Sunita Rao,4
ORD10041,2025-01-14,Ananya Singh,West,Online,Groceries,Chocolate Box,8,1223.41,0.0,0.0,9787.28,Cash,Kiran Desai,5
ORD10042,2025-01-15,Pooja Reddy,South,In-Store,Sports,Dumbbells,5,1360.84,15.0,1020.63,5783.57,Debit Card,Suresh Babu,3
ORD10043,2025-01-15,Aarav Sharma,West,Online,Sports,Yoga Mat,7,1069.25,0.0,0.0,7484.75,Credit Card,Manoj Tiwari,5
ORD10044,2025-01-15,Sanjay Kumar,South,Phone,Electronics,Laptop,9,1220.01,10.0,1098.01,9882.08,Bank Transfer,Deepa Rao,3
ORD10045,2025-01-15,Nikhil Bansal,Central,In-Store,Sports,Tennis Racket,4,975.28,5.0,195.06,3706.06,PayPal,Suresh Babu,4
ORD10046,2025-01-15,John Smith,South,In-Store,Clothing,T-Shirt,7,193.01,0.0,0.0,1351.07,PayPal,Vijay Anand,1
ORD10047,2025-01-15,Divya Kapoor,South,Online,Electronics,Tablet,9,1582.49,10.0,1424.24,12818.17,Bank Transfer,Anjali Nair,1
ORD10048,2025-01-15,Ananya Singh,South,Online,Electronics,Smartwatch,2,1686.69,0.0,0.0,3373.38,PayPal,Vijay Anand,5
ORD10049,2025-01-16,Nikhil Bansal,North,In-Store,Electronics,Monitor,4,799.43,0.0,0.0,3197.72,Credit Card,Manoj Tiwari,3
ORD10050,2025-01-16,Amit Malhotra,West,Phone,Sports,Running Shoes,7,561.48,10.0,393.04,3537.32,Debit Card,Anjali Nair,4
ORD10051,2025-01-16,Rahul Chatterjee,North,Online,Electronics,Laptop,6,1740.18,15.0,1566.16,8874.92,Bank Transfer,Anjali Nair,4
ORD10052,2025-01-17,Laura Martinez,South,Online,Furniture,Sofa,2,1634.45,0.0,0.0,3268.9,Debit Card,Anjali Nair,5
ORD10053,2025-01-18,David Wilson,South,In-Store,Groceries,Coffee,9,916.35,5.0,412.36,7834.79,Debit Card,Sunita Rao,2
ORD10054,2025-01-18,Olivia Anderson,West,Online,Electronics,Headphones,6,1161.66,0.0,0.0,6969.96,Credit Card,Arun Prasad,5
ORD10055,2025-01-18,Olivia Anderson,Central,Phone,Furniture,Bookshelf,4,1199.7,15.0,719.82,4078.98,Cash,Ravi Kumar,5
ORD10056,2025-01-18,Sarah Davis,West,Phone,Sports,Running Shoes,4,777.65,0.0,0.0,3110.6,PayPal,Deepa Rao,3
ORD10057,2025-01-19,Sanjay Kumar,East,Online,Electronics,Monitor,2,1136.23,15.0,340.87,1931.59,PayPal,Vijay Anand,3
ORD10058,2025-01-19,Rahul Chatterjee,North,Phone,Electronics,Laptop,5,1177.32,0.0,0.0,5886.6,Credit Card,Kiran Desai,2
ORD10059,2025-01-20,Sneha Desai,North,Online,Electronics,Smartphone,1,336.6,15.0,50.49,286.11,PayPal,Sunita Rao,2
ORD10060,2025-01-20,Divya Kapoor,Central,In-Store,Electronics,Laptop,6,1450.77,15.0,1305.69,7398.93,Cash,Sunita Rao,2
ORD10061,2025-01-20,Laura Martinez,Central,Phone,Sports,Tennis Racket,9,821.78,0.0,0.0,7396.02,Cash,Kiran Desai,5
ORD10062,2025-01-20,Michael Brown,East,In-Store,Clothing,T-Shirt,1,1903.04,20.0,380.61,1522.43,Credit Card,Suresh Babu,4
ORD10063,2025-01-21,Emily Johnson,South,In-Store,Clothing,Dress,1,1671.89,5.0,83.59,1588.3,Credit Card,Anjali Nair,4
ORD10064,2025-01-21,Ishita Gupta,West,Phone,Furniture,Dining Table,5,1906.87,10.0,953.43,8580.92,Bank Transfer,Deepa Rao,5
ORD10065,2025-01-21,Rohan Mehta,West,Online,Clothing,T-Shirt,4,611.37,15.0,366.82,2078.66,Credit Card,Anjali Nair,5
ORD10066,2025-01-21,John Smith,East,Phone,Furniture,Dining Table,5,1310.08,0.0,0.0,6550.4,Credit Card,Pallavi Shah,3
ORD10067,2025-01-21,Kavya Menon,West,Online,Groceries,Chocolate Box,6,908.39,0.0,0.0,5450.34,Bank Transfer,Kiran Desai,5
ORD10068,2025-01-21,Sneha Desai,South,Online,Clothing,Dress,4,1521.27,0.0,0.0,6085.08,Bank Transfer,Pallavi Shah,2
ORD10069,2025-01-21,Arjun Nair,North,Online,Groceries,Rice Bag,5,1270.51,0.0,0.0,6352.55,Cash,Suresh Babu,4
ORD10070,2025-01-22,Vikram Rao,North,Phone,Sports,Running Shoes,2,1784.63,10.0,356.93,3212.33,Credit Card,Suresh Babu,4
ORD10071,2025-01-22,Sophia White,South,In-Store,Clothing,Sneakers,3,1616.69,0.0,0.0,4850.07,Credit Card,Anjali Nair,4
ORD10072,2025-01-22,Sarah Davis,South,Online,Sports,Running Shoes,5,1744.74,5.0,436.19,8287.51,PayPal,Pallavi Shah,5
ORD10073,2025-01-23,Daniel Thomas,South,In-Store,Furniture,Desk,5,1640.79,15.0,1230.59,6973.36,Bank Transfer,Sunita Rao,3
ORD10074,2025-01-24,Pooja Reddy,West,Online,Electronics,Smartphone,1,130.87,20.0,26.17,104.7,PayPal,Deepa Rao,4
ORD10075,2025-01-24,Sarah Davis,Central,Phone,Furniture,Bookshelf,6,773.92,0.0,0.0,4643.52,Cash,Kiran Desai,4
ORD10076,2025-01-24,Arjun Nair,South,Online,Furniture,Dining Table,1,1131.81,10.0,113.18,1018.63,PayPal,Sunita Rao,1
ORD10077,2025-01-25,Riya Chawla,North,Online,Furniture,Desk,7,172.83,20.0,241.96,967.85,PayPal,Anjali Nair,2
ORD10078,2025-01-25,Rahul Chatterjee,West,Online,Sports,Tennis Racket,5,247.92,0.0,0.0,1239.6,Cash,Deepa Rao,4
ORD10079,2025-01-25,Kavya Menon,East,Online,Sports,Running Shoes,8,178.54,5.0,71.42,1356.9,Debit Card,Kiran Desai,5
ORD10080,2025-01-25,Amit Malhotra,South,Online,Furniture,Dining Table,3,612.63,0.0,0.0,1837.89,Credit Card,Anjali Nair,5
ORD10081,2025-01-27,Sophia White,North,In-Store,Furniture,Sofa,5,1102.0,0.0,0.0,5510.0,PayPal,Kiran Desai,3
ORD10082,2025-01-28,Rohan Mehta,North,Phone,Groceries,Chocolate Box,1,253.39,15.0,38.01,215.38,Cash,Suresh Babu,3
ORD10083,2025-01-29,Rohan Mehta,Central,In-Store,Electronics,Headphones,2,268.7,5.0,26.87,510.53,Debit Card,Sunita Rao,5
ORD10084,2025-01-29,Michael Brown,East,Online,Clothing,Sneakers,8,86.7,0.0,0.0,693.6,PayPal,Sunita Rao,4
ORD10085,2025-01-29,Karan Verma,Central,Online,Clothing,T-Shirt,8,1253.17,20.0,2005.07,8020.29,Debit Card,Arun Prasad,4
ORD10086,2025-01-29,Laura Martinez,North,Phone,Sports,Yoga Mat,5,162.47,0.0,0.0,812.35,Credit Card,Deepa Rao,4
ORD10087,2025-01-29,Rahul Chatterjee,West,Online,Sports,Running Shoes,1,1164.7,15.0,174.71,989.99,Credit Card,Deepa Rao,4
ORD10088,2025-01-29,Emily Johnson,East,Phone,Sports,Running Shoes,4,580.94,0.0,0.0,2323.76,PayPal,Anjali Nair,4
ORD10089,2025-01-29,Ishita Gupta,West,In-Store,Furniture,Bookshelf,2,159.58,5.0,15.96,303.2,Debit Card,Sunita Rao,5
ORD10090,2025-01-30,David Wilson,Central,In-Store,Furniture,Bookshelf,6,342.95,0.0,0.0,2057.7,Cash,Suresh Babu,5
ORD10091,2025-01-30,Ananya Singh,Central,Online,Electronics,Headphones,9,1592.11,0.0,0.0,14328.99,Cash,Kiran Desai,5
ORD10092,2025-02-01,Sneha Desai,East,Online,Electronics,Smartwatch,5,1898.41,5.0,474.6,9017.45,Cash,Arun Prasad,2
ORD10093,2025-02-01,Kavya Menon,South,Phone,Clothing,Sneakers,2,412.15,0.0,0.0,824.3,Cash,Sunita Rao,4
ORD10094,2025-02-01,Amit Malhotra,South,Online,Sports,Yoga Mat,8,77.92,0.0,0.0,623.36,PayPal,Anjali Nair,4
ORD10095,2025-02-02,Vikram Rao,East,Online,Sports,Running Shoes,6,1184.64,0.0,0.0,7107.84,PayPal,Suresh Babu,5
ORD10096,2025-02-03,Michael Brown,Central,In-Store,Groceries,Coffee,2,1824.08,20.0,729.63,2918.53,Credit Card,Ravi Kumar,5
ORD10097,2025-02-04,Rahul Chatterjee,Central,Phone,Groceries,Coffee,3,1151.29,0.0,0.0,3453.87,PayPal,Deepa Rao,5
ORD10098,2025-02-04,Karan Verma,West,Phone,Electronics,Smartphone,6,1104.88,0.0,0.0,6629.28,Bank Transfer,Pallavi Shah,4
ORD10099,2025-02-04,Meera Iyer,West,Online,Furniture,Dining Table,4,1030.34,20.0,824.27,3297.09,Cash,Anjali Nair,4
ORD10100,2025-02-04,Laura Martinez,South,Online,Groceries,Cereal,4,341.04,0.0,0.0,1364.16,Bank Transfer,Kiran Desai,5
ORD10101,2025-02-05,Michael Brown,Central,Online,Furniture,Office Chair,8,1553.94,20.0,2486.3,9945.22,Bank Transfer,Pallavi Shah,3
ORD10102,2025-02-05,Olivia Anderson,South,Phone,Sports,Dumbbells,2,1619.0,15.0,485.7,2752.3,PayPal,Manoj Tiwari,4
ORD10103,2025-02-05,Rahul Chatterjee,North,In-Store,Electronics,Tablet,4,976.6,0.0,0.0,3906.4,PayPal,Deepa Rao,4
ORD10104,2025-02-06,Neha Joshi,North,Phone,Sports,Tennis Racket,9,1644.74,20.0,2960.53,11842.13,Debit Card,Sunita Rao,4
ORD10105,2025-02-06,Michael Brown,South,In-Store,Furniture,Sofa,4,1517.29,20.0,1213.83,4855.33,Cash,Sunita Rao,5
ORD10106,2025-02-07,Priya Patel,Central,Phone,Clothing,T-Shirt,2,1702.2,15.0,510.66,2893.74,Credit Card,Suresh Babu,2
ORD10107,2025-02-07,Olivia Anderson,East,In-Store,Clothing,T-Shirt,3,691.43,20.0,414.86,1659.43,Cash,Vijay Anand,4
ORD10108,2025-02-07,James Taylor,West,Phone,Sports,Tennis Racket,8,1932.28,20.0,3091.65,12366.59,Debit Card,Pallavi Shah,4
ORD10109,2025-02-08,Olivia Anderson,Central,In-Store,Clothing,Jeans,6,688.59,5.0,206.58,3924.96,Debit Card,Sunita Rao,3
ORD10110,2025-02-08,Sanjay Kumar,North,Online,Electronics,Smartwatch,4,1755.55,20.0,1404.44,5617.76,Bank Transfer,Anjali Nair,2
ORD10111,2025-02-08,Kavya Menon,South,In-Store,Furniture,Office Chair,6,1657.74,0.0,0.0,9946.44,Cash,Arun Prasad,4
ORD10112,2025-02-08,James Taylor,West,In-Store,Sports,Tennis Racket,2,600.26,20.0,240.1,960.42,PayPal,Suresh Babu,5
ORD10113,2025-02-08,Riya Chawla,Central,Phone,Groceries,Rice Bag,4,1970.49,0.0,0.0,7881.96,Bank Transfer,Vijay Anand,3
ORD10114,2025-02-08,Olivia Anderson,West,In-Store,Furniture,Office Chair,8,858.9,0.0,0.0,6871.2,PayPal,Arun Prasad,1
ORD10115,2025-02-08,Divya Kapoor,Central,Online,Electronics,Laptop,9,426.84,0.0,0.0,3841.56,Cash,Suresh Babu,5
ORD10116,2025-02-09,James Taylor,East,Online,Furniture,Bookshelf,1,1729.66,15.0,259.45,1470.21,PayPal,Pallavi Shah,4
ORD10117,2025-02-09,Emily Johnson,Central,Phone,Sports,Yoga Mat,6,509.45,0.0,0.0,3056.7,Credit Card,Kiran Desai,5
ORD10118,2025-02-10,Meera Iyer,South,Online,Groceries,Chocolate Box,8,33.87,5.0,13.55,257.41,Bank Transfer,Deepa Rao,5
ORD10119,2025-02-10,Pooja Reddy,East,Online,Furniture,Dining Table,2,1358.95,0.0,0.0,2717.9,Debit Card,Anjali Nair,3
ORD10120,2025-02-10,Meera Iyer,East,Online,Groceries,Olive Oil,2,565.02,10.0,113.0,1017.04,Debit Card,Manoj Tiwari,4
ORD10121,2025-02-11,Sophia White,West,In-Store,Furniture,Sofa,3,1323.7,10.0,397.11,3573.99,PayPal,Arun Prasad,5
ORD10122,2025-02-11,Vikram Rao,South,Online,Groceries,Cereal,5,574.3,5.0,143.57,2727.93,Cash,Kiran Desai,5
ORD10123,2025-02-12,John Smith,South,Online,Electronics,Monitor,2,1099.93,15.0,329.98,1869.88,Debit Card,Manoj Tiwari,5
ORD10124,2025-02-13,Nikhil Bansal,North,Phone,Sports,Running Shoes,8,902.11,0.0,0.0,7216.88,Credit Card,Deepa Rao,5
ORD10125,2025-02-13,Karan Verma,West,Phone,Groceries,Chocolate Box,8,1795.58,0.0,0.0,14364.64,Cash,Anjali Nair,3
ORD10126,2025-02-13,Riya Chawla,North,Online,Clothing,Jeans,2,459.42,0.0,0.0,918.84,Cash,Sunita Rao,4
ORD10127,2025-02-13,Daniel Thomas,South,Phone,Furniture,Dining Table,3,923.36,0.0,0.0,2770.08,PayPal,Ravi Kumar,5
ORD10128,2025-02-14,Laura Martinez,Central,Phone,Electronics,Smartwatch,6,1361.88,5.0,408.56,7762.72,Bank Transfer,Pallavi Shah,1
ORD10129,2025-02-14,Rohan Mehta,East,Online,Furniture,Dining Table,7,1325.04,0.0,0.0,9275.28,Debit Card,Anjali Nair,4
ORD10130,2025-02-14,Laura Martinez,South,Online,Electronics,Smartphone,3,331.64,15.0,149.24,845.68,PayPal,Pallavi Shah,4
ORD10131,2025-02-15,Aarav Sharma,West,Online,Groceries,Chocolate Box,8,695.3,0.0,0.0,5562.4,Debit Card,Ravi Kumar,5
ORD10132,2025-02-15,Laura Martinez,South,Online,Furniture,Desk,9,1438.81,5.0,647.46,12301.83,Bank Transfer,Kiran Desai,5
ORD10133,2025-02-15,Ananya Singh,South,Phone,Clothing,Sneakers,1,100.92,20.0,20.18,80.74,Cash,Vijay Anand,3
ORD10134,2025-02-16,Arjun Nair,West,Online,Clothing,Dress,6,1205.22,10.0,723.13,6508.19,Debit Card,Arun Prasad,3
ORD10135,2025-02-16,Divya Kapoor,East,Phone,Groceries,Cereal,8,1087.23,0.0,0.0,8697.84,Debit Card,Anjali Nair,5
ORD10136,2025-02-16,Kavya Menon,South,Phone,Sports,Bicycle,7,796.91,0.0,0.0,5578.37,Credit Card,Ravi Kumar,3
ORD10137,2025-02-16,Rahul Chatterjee,Central,Phone,Sports,Yoga Mat,9,363.4,5.0,163.53,3107.07,Credit Card,Manoj Tiwari,4
ORD10138,2025-02-16,Laura Martinez,East,In-Store,Clothing,Sneakers,5,103.96,20.0,103.96,415.84,Cash,Pallavi Shah,5
ORD10139,2025-02-17,Amit Malhotra,Central,Online,Furniture,Desk,5,1321.44,5.0,330.36,6276.84,Credit Card,Ravi Kumar,4
ORD10140,2025-02-17,Sneha Desai,West,In-Store,Sports,Bicycle,2,173.12,0.0,0.0,346.24,Cash,Arun Prasad,4
ORD10141,2025-02-18,Rohan Mehta,South,In-Store,Sports,Dumbbells,4,1875.02,15.0,1125.01,6375.07,Debit Card,Ravi Kumar,5
ORD10142,2025-02-18,Sarah Davis,Central,Phone,Furniture,Dining Table,3,1793.66,0.0,0.0,5380.98,Bank Transfer,Sunita Rao,5
ORD10143,2025-02-18,Laura Martinez,North,Online,Electronics,Tablet,2,1265.82,10.0,253.16,2278.48,Debit Card,Manoj Tiwari,4
ORD10144,2025-02-18,Amit Malhotra,West,In-Store,Clothing,Jacket,8,1006.38,0.0,0.0,8051.04,Credit Card,Deepa Rao,5
ORD10145,2025-02-19,Nikhil Bansal,South,Online,Electronics,Headphones,6,420.68,0.0,0.0,2524.08,Cash,Deepa Rao,5
ORD10146,2025-02-19,Kavya Menon,East,Phone,Groceries,Coffee,6,925.03,0.0,0.0,5550.18,Bank Transfer,Sunita Rao,5
ORD10147,2025-02-20,Pooja Reddy,Central,Online,Sports,Yoga Mat,7,1851.51,0.0,0.0,12960.57,Debit Card,Deepa Rao,3
ORD10148,2025-02-20,Meera Iyer,North,Online,Clothing,Dress,6,342.03,10.0,205.22,1846.96,Credit Card,Arun Prasad,5
ORD10149,2025-02-20,Priya Patel,East,Phone,Groceries,Coffee,5,474.77,0.0,0.0,2373.85,Debit Card,Kiran Desai,4
ORD10150,2025-02-21,Sanjay Kumar,East,Online,Groceries,Rice Bag,6,806.15,10.0,483.69,4353.21,Debit Card,Anjali Nair,4
ORD10151,2025-02-21,Emily Johnson,West,Online,Sports,Yoga Mat,9,739.91,0.0,0.0,6659.19,Credit Card,Vijay Anand,5
ORD10152,2025-02-22,Michael Brown,North,Online,Furniture,Sofa,2,931.7,10.0,186.34,1677.06,Debit Card,Arun Prasad,5
ORD10153,2025-02-22,John Smith,Central,In-Store,Sports,Tennis Racket,8,1135.06,20.0,1816.1,7264.38,PayPal,Suresh Babu,5
ORD10154,2025-02-22,Michael Brown,South,Online,Electronics,Smartwatch,7,1862.2,15.0,1955.31,11080.09,PayPal,Anjali Nair,5
ORD10155,2025-02-22,Riya Chawla,West,Phone,Furniture,Office Chair,4,383.92,10.0,153.57,1382.11,Bank Transfer,Kiran Desai,5
ORD10156,2025-02-23,Ishita Gupta,West,Online,Clothing,Sneakers,8,656.67,10.0,525.34,4728.02,Cash,Deepa Rao,4
ORD10157,2025-02-23,Vikram Rao,South,Online,Groceries,Coffee,6,759.05,20.0,910.86,3643.44,PayPal,Anjali Nair,5
ORD10158,2025-02-23,Laura Martinez,South,Phone,Sports,Yoga Mat,1,511.33,15.0,76.7,434.63,Debit Card,Ravi Kumar,3
ORD10159,2025-02-23,Laura Martinez,East,Online,Clothing,Jacket,3,842.91,0.0,0.0,2528.73,PayPal,Kiran Desai,5
ORD10160,2025-02-24,Emily Johnson,West,Online,Sports,Yoga Mat,6,1610.64,10.0,966.38,8697.46,Credit Card,Suresh Babu,2
ORD10161,2025-02-24,Sneha Desai,Central,In-Store,Clothing,Jacket,7,844.58,0.0,0.0,5912.06,Cash,Arun Prasad,4
ORD10162,2025-02-24,Aditya Bose,East,In-Store,Electronics,Smartphone,9,161.09,5.0,72.49,1377.32,Debit Card,Arun Prasad,4
ORD10163,2025-02-25,Daniel Thomas,Central,Phone,Groceries,Chocolate Box,7,657.15,0.0,0.0,4600.05,Bank Transfer,Vijay Anand,4
ORD10164,2025-02-25,Rohan Mehta,South,In-Store,Electronics,Laptop,3,1893.56,10.0,568.07,5112.61,Cash,Ravi Kumar,3
ORD10165,2025-02-26,Neha Joshi,West,Online,Furniture,Desk,2,182.1,0.0,0.0,364.2,Debit Card,Deepa Rao,4
ORD10166,2025-02-26,Laura Martinez,East,In-Store,Groceries,Chocolate Box,7,743.33,0.0,0.0,5203.31,Credit Card,Anjali Nair,4
ORD10167,2025-02-26,James Taylor,North,In-Store,Groceries,Olive Oil,4,737.5,15.0,442.5,2507.5,Cash,Deepa Rao,5
ORD10168,2025-02-27,Divya Kapoor,South,Phone,Clothing,Jeans,6,1231.94,20.0,1478.33,5913.31,PayPal,Anjali Nair,4
ORD10169,2025-02-28,Arjun Nair,West,Online,Electronics,Tablet,9,57.56,0.0,0.0,518.04,Bank Transfer,Sunita Rao,5
ORD10170,2025-02-28,Amit Malhotra,North,Online,Groceries,Coffee,9,1057.35,15.0,1427.42,8088.73,Credit Card,Vijay Anand,5
ORD10171,2025-02-28,Meera Iyer,North,In-Store,Sports,Yoga Mat,1,1406.75,0.0,0.0,1406.75,PayPal,Anjali Nair,4
ORD10172,2025-03-01,Ananya Singh,South,Online,Furniture,Bookshelf,7,1787.72,10.0,1251.4,11262.64,Cash,Sunita Rao,4
ORD10173,2025-03-01,David Wilson,West,In-Store,Clothing,Sneakers,3,1007.58,0.0,0.0,3022.74,Bank Transfer,Arun Prasad,4
ORD10174,2025-03-01,Meera Iyer,South,Phone,Sports,Yoga Mat,2,375.12,0.0,0.0,750.24,Bank Transfer,Pallavi Shah,4
ORD10175,2025-03-01,Vikram Rao,North,Phone,Furniture,Office Chair,4,195.59,0.0,0.0,782.36,Debit Card,Ravi Kumar,5
ORD10176,2025-03-01,Aditya Bose,South,In-Store,Clothing,Sneakers,8,714.47,10.0,571.58,5144.18,Debit Card,Kiran Desai,4
ORD10177,2025-03-02,Kavya Menon,South,In-Store,Furniture,Bookshelf,1,434.61,0.0,0.0,434.61,Debit Card,Kiran Desai,4
ORD10178,2025-03-03,Sneha Desai,South,Phone,Clothing,T-Shirt,3,551.46,10.0,165.44,1488.94,PayPal,Vijay Anand,1
ORD10179,2025-03-03,Priya Patel,East,Phone,Clothing,Sneakers,7,835.24,5.0,292.33,5554.35,Credit Card,Kiran Desai,2
ORD10180,2025-03-03,Aditya Bose,West,Online,Furniture,Office Chair,7,919.12,20.0,1286.77,5147.07,Cash,Anjali Nair,4
ORD10181,2025-03-03,Kavya Menon,West,Online,Electronics,Laptop,9,1459.7,15.0,1970.6,11166.7,PayPal,Deepa Rao,5
ORD10182,2025-03-03,Meera Iyer,South,In-Store,Clothing,Dress,8,1624.57,20.0,2599.31,10397.25,Bank Transfer,Pallavi Shah,5
ORD10183,2025-03-03,Vikram Rao,Central,Online,Electronics,Monitor,2,861.22,10.0,172.24,1550.2,Cash,Suresh Babu,4
ORD10184,2025-03-04,Sarah Davis,North,Online,Electronics,Smartphone,9,338.43,20.0,609.17,2436.7,Bank Transfer,Pallavi Shah,4
ORD10185,2025-03-04,Olivia Anderson,East,Online,Groceries,Chocolate Box,1,816.58,0.0,0.0,816.58,Debit Card,Sunita Rao,5
ORD10186,2025-03-04,Nikhil Bansal,Central,In-Store,Clothing,Sneakers,8,266.21,0.0,0.0,2129.68,Bank Transfer,Manoj Tiwari,3
ORD10187,2025-03-04,Daniel Thomas,North,In-Store,Groceries,Coffee,5,1311.27,0.0,0.0,6556.35,Bank Transfer,Pallavi Shah,4
